date,open,high,low,close
2024-04-07,28506.16,28894.44,28151.66,28151.66
2024-04-08,28151.66,28555.11,28130.53,28503.75
2024-04-15,28503.75,29664.3,28503.75,29616.47
2024-04-16,29616.47,29797.23,29387.73,29400.84
2024-04-17,29400.84,29867.36,29400.57,29667.71
2024-04-18,29667.71,30072.1,27796.1,28332.65
2024-04-21,28332.65,28941.42,28332.65,28623.39
2024-04-22,28623.39,28849.68,28144.22,28144.22
2024-04-23,28144.22,28167.48,26755.19,26777.05
2024-04-24,26777.05,26785.06,25502.32,25917.59
2024-04-28,25917.59,26005.67,24639.63,24639.63
2024-04-29,24639.63,26011.28,24637.16,26011.28
2024-04-30,26011.28,26097.3,24409.83,24448.73
2024-05-01,24448.73,25296.02,24193.87,25270.55
2024-05-02,25270.55,26168.25,25188.67,26113.71
2024-05-07,26113.71,26429.69,25638.5,26429.69
2024-05-08,26429.69,26939.91,25889.58,25988.93
2024-05-09,25988.93,26273.69,25844.98,26003.16
2024-05-12,26003.16,26265.08,24972.47,25155.92
2024-05-13,25155.92,25388.04,24771.85,25381.25
2024-05-14,25381.25,25654.34,25216.27,25339.77
2024-05-15,25339.77,25480.97,25169.92,25316.08
2024-05-16,25316.08,26165.9,25316.08,26142.84
2024-05-19,26142.84,27333.91,26142.84,27315.83
2024-05-20,27315.83,27636.62,27170.62,27228.85
2024-05-21,27228.85,27615.87,27224.8,27224.8
2024-05-22,27224.8,27442.67,26963.82,27227.44
2024-05-23,27227.44,27415.59,27196.78,27205.14
2024-05-26,27205.14,27584.5,27205.14,27539.21
2024-05-27,27539.21,27689.14,27276.94,27287.31
2024-05-28,27287.31,27296.89,26822.88,27194.51
2024-05-29,27194.51,27391.88,26976.21,27089.68
2024-05-30,27089.68,27116.25,26683.97,26922.76
2024-06-02,26922.76,27140.2,26753.7,26869.85
2024-06-03,26869.85,27003.04,26760.84,26834.47
2024-06-04,26834.47,27170.91,26834.47,26973.0
2024-06-05,26973.0,26973.0,26241.88,26634.3
2024-06-06,26634.3,26656.15,26356.42,26428.65
2024-06-09,26428.65,26457.59,25652.74,25659.13
2024-06-10,25659.13,25896.56,25508.57,25896.56
2024-06-11,25896.56,26350.16,25869.99,26082.29
2024-06-12,26082.29,26303.47,26037.58,26133.39
2024-06-13,26133.39,26556.76,26133.39,26417.6
2024-06-23,26417.6,27087.87,26417.6,27062.37
2024-06-24,27062.37,27308.21,26902.4,26902.4
2024-06-25,26902.4,27269.92,26747.87,27264.23
2024-06-26,27264.23,27600.92,27238.03,27500.56
2024-06-27,27500.56,27938.98,27499.63,27766.27
2024-07-01,27766.27,28139.44,27766.27,27969.59
2024-07-02,27969.59,28174.67,27925.42,27985.89
2024-07-03,27985.89,28374.37,27985.89,28161.17
2024-07-04,28161.17,28460.63,28151.67,28364.79
2024-07-07,28364.79,28864.33,28363.37,28602.14
2024-07-08,28602.14,28886.74,28344.0,28411.87
2024-07-09,28411.87,28518.1,28258.93,28466.24
2024-07-10,28466.24,28702.04,28268.95,28287.98
2024-07-14,28287.98,28531.84,27997.98,28042.06
2024-07-15,28042.06,28197.34,27917.53,27952.04
2024-07-16,27952.04,28094.99,27786.44,27828.92
2024-07-17,27828.92,28345.92,27828.92,28340.42
2024-07-18,28340.42,28832.77,28340.42,28653.85
2024-07-21,28653.85,28896.49,28626.86,28783.24
2024-07-22,28783.24,29221.54,28783.24,28992.34
2024-07-23,28992.34,29285.83,28924.59,29195.24
2024-07-24,29195.24,29375.4,29057.85,29090.57
2024-07-28,29090.57,29148.17,28949.91,29036.32
2024-07-29,29036.32,29317.14,28851.23,28851.23
2024-07-30,28851.23,29039.42,28851.23,29039.42
2024-07-31,29039.42,29386.84,29039.42,29378.82
2024-08-01,29378.82,29674.4,29332.43,29359.87
2024-08-04,29359.87,29359.87,28262.64,28503.63
2024-08-05,28503.63,28503.63,27125.63,27840.64
2024-08-06,27840.64,28291.84,27840.64,28210.41
2024-08-07,28210.41,28628.19,28210.41,28628.19
2024-08-08,28628.19,28971.02,28488.65,28750.82
2024-08-11,28750.82,29579.57,28750.82,29532.67
2024-08-12,29532.67,30007.23,29532.67,29706.7
2024-08-13,29706.7,29792.04,29304.88,29331.04
2024-08-14,29331.04,29667.94,29331.04,29567.0
2024-08-15,29567.0,29833.68,29465.9,29629.14
2024-08-18,29629.14,29798.38,29409.54,29460.24
2024-08-19,29460.24,29532.82,29240.01,29320.18
2024-08-20,29320.18,29915.24,29320.18,29915.24
2024-08-21,29915.24,30020.32,29756.62,29914.29
2024-08-22,29914.29,30142.57,29845.01,30141.08
2024-08-25,30141.08,30196.31,29999.88,30073.95
2024-08-26,30073.95,30304.76,29952.8,30133.81
2024-08-27,30133.81,30570.71,30072.37,30363.15
2024-08-28,30363.15,30742.82,30363.15,30709.59
2024-08-29,30709.59,30910.31,30614.05,30774.19
2024-09-01,30774.19,31174.48,30774.19,30902.88
2024-09-02,30902.88,31221.69,30706.47,30731.98
2024-09-03,30731.98,31161.86,30722.75,31018.48
2024-09-04,31018.48,31018.48,30648.74,30998.19
2024-09-05,30998.19,31177.1,30979.99,31029.7
2024-09-08,31029.7,31033.57,30273.73,30273.73
2024-09-09,30273.73,30520.34,30227.11,30374.96
2024-09-10,30374.96,30511.83,30075.24,30104.35
2024-09-11,30104.35,30565.1,29803.14,30485.63
